name,incomeTax,directDescendingTax,companyTax,transferSaleTax,realEstateTax
Châtillon,65.0,60.0,87.0,1.00,2.50
Cheiry,90.0,70.0,80.0,1.00,2.00
Cugy,85.0,66.7,85.0,1.00,1.80
Fétigny,88.0,70.0,85.6,1.00,2.00
Gletterens,58.9,70.0,58.9,1.00,2.00
Lully,80.0,70.0,80.0,1.00,2.00
Ménières,83.0,70.0,83.0,1.00,2.00
Montagny,83.6,66.7,79.2,1.00,2.00
Nuvilly,87.9,70.0,87.9,1.00,2.00
Prévondavaux,90.3,70.0,90.3,1.00,3.00
Saint-Aubin,80.0,70.0,80.0,0.70,1.50
Sévaz,30.0,70.0,30.0,1.00,1.50
Surpierre,88.7,60.0,88.7,1.00,1.25
Vallon,78.0,70.0,78.0,1.00,2.00
Les Montets,77.4,70.0,77.4,1.00,2.00
Delley-Portalban,49.9,60.0,49.9,1.00,1.50
Belmont-Broye,72.0,70.0,72.0,1.00,1.50
Estavayer,84.0,70.0,84.0,1.00,2.00
Cheyres-Châbles,70.0,66.7,70.0,1.00,2.00
Auboranges,92.0,70.0,50.0,1.00,2.00
Billens-Hennens,95.0,70.0,100.0,1.00,1.00
Chapelle (Glâne),85.0,70.0,85.0,1.00,2.00
Le Châtelard,97.0,70.0,55.0,1.00,2.80
Châtonnaye,85.0,66.7,85.0,1.00,2.00
Ecublens,88.0,70.0,88.0,1.00,1.50
Grangettes,77.0,70.0,77.0,1.00,2.00
Massonnens,91.2,70.0,86.9,1.00,2.00
Mézières,93.0,70.0,83.0,1.00,2.50
Montet (Glâne),80.0,66.7,80.0,1.00,2.50
Romont,90.0,70.0,90.0,1.00,3.00
Rue,79.0,66.7,48.0,1.00,2.00
Siviriez,88.0,70.0,88.0,1.00,1.20
Ursy,77.0,70.0,77.0,1.00,1.75
Vuisternens-devant-Romont,88.4,70.0,88.4,1.00,1.00
Villorsonnens,76.0,70.0,76.0,1.00,1.80
Torny,82.0,70.0,82.0,1.00,2.00
Villaz,87.0,70.0,87.0,1.00,2.00
Haut-Intyamon,97.0,70.0,97.0,1.00,2.50
Pont-en-Ogoz,75.0,70.0,75.0,1.00,2.00
Botterens,85.0,70.0,85.0,1.00,1.50
Broc,89.0,70.0,89.0,1.00,2.00
Bulle,74.3,70.0,74.3,1.00,2.00
Châtel-sur-Montsalvens,79.5,60.0,79.5,1.00,3.00
Corbières,73.5,66.7,77.2,1.00,1.50
Crésuz,67.0,50.0,67.0,1.00,3.00
Echarlens,70.0,70.0,70.0,1.00,1.50
Grandvillard,80.0,66.7,80.0,1.00,2.50
Gruyères,80.0,66.7,75.6,1.00,2.00
Hauteville,77.7,70.0,77.7,1.00,1.60
Jaun,100.0,70.0,100.0,1.00,3.00
Marsens,75.0,70.0,75.0,1.00,1.50
Morlon,84.3,66.7,88.1,1.00,2.00
Le Pâquier,83.5,66.7,79.7,1.00,1.90
Pont-la-Ville,75.0,66.7,75.0,1.00,3.00
Riaz,73.0,70.0,73.0,1.00,1.50
La Roche,85.0,70.0,100.0,1.00,1.50
Sâles,80.0,70.0,80.0,1.00,1.30
Sorens,73.0,66.7,78.0,1.00,2.00
Vaulruz,79.0,70.0,79.0,0.60,2.30
Vuadens,87.8,66.7,87.8,1.00,1.00
Bas-Intyamon,83.2,70.0,83.2,1.00,2.50
Val-de-Charmey,89.8,70.0,89.8,1.00,3.00
Arconciel,85.0,66.7,85.0,1.00,2.00
Autigny,90.0,70.0,90.0,1.00,2.00
Avry,72.1,50.0,72.1,1.00,3.00
Belfaux,81.0,70.0,81.0,1.00,2.00
Chénens,81.7,50.0,77.1,0.70,1.30
Corminboeuf,75.0,66.7,75.0,1.00,2.00
Cottens,85.0,70.0,93.0,1.00,2.00
Ependes,88.0,66.7,88.0,1.00,1.50
Ferpicloz,50.0,65.0,50.0,0.65,2.00
Fribourg,80.0,70.0,80.0,1.00,2.85
Givisiez,70.0,70.0,70.0,1.00,3.00
Granges-Paccot,67.8,66.7,67.8,1.00,2.25
Grolley,82.0,66.7,82.0,1.00,1.75
Marly,80.0,70.0,80.0,1.00,3.00
Matran,60.0,70.0,80.0,1.00,2.70
Neyruz,81.0,70.0,81.0,1.00,1.20
Pierrafortscha,78.0,0.0,75.0,0.50,1.50
Ponthaux,89.0,66.7,89.0,1.00,2.00
Le Mouret,80.0,70.0,80.0,1.00,2.00
Senèdes,93.0,0.0,93.0,1.00,2.00
Treyvaux,88.0,70.0,88.0,1.00,2.50
Villars-sur-Glâne,63.9,66.7,69.0,1.00,2.50
Villarsel-sur-Marly,90.0,70.0,100.0,1.00,2.00
Hauterive,72.0,70.0,74.0,1.00,2.00
La Brillaz,89.0,70.0,89.0,1.00,1.00
La Sonnaz,79.0,70.0,100.0,1.00,2.00
Gibloux,85.0,70.0,85.0,1.00,2.00
Prez,80.0,70.0,80.0,1.00,1.50
Courgevaux,76.0,70.0,76.0,1.00,2.00
Courtepin,85.0,66.7,85.0,1.00,3.00
Cressier,76.0,66.7,76.0,1.00,3.00
Fräschels,75.0,70.0,75.0,0.80,1.00
Galmiz,72.0,70.0,72.0,0.80,2.00
Gempenach,67.0,70.0,67.0,1.00,1.00
Greng,32.0,70.0,32.0,1.00,2.00
Gurmels,80.0,66.7,80.0,1.00,1.00
Kerzers,84.0,65.0,84.0,1.00,1.30
Kleinbösingen,60.0,50.0,60.0,1.00,2.00
Meyriez / Merlach,52.3,66.7,52.3,1.00,1.00
Misery-Courtion,88.0,70.0,92.6,1.00,2.00
Muntelier,58.0,66.7,58.0,1.00,0.00
Murten,62.0,66.7,62.0,1.00,1.50
Ried bei Kerzers,72.5,53.4,72.5,1.00,1.00
Ulmiz,79.5,66.7,79.5,1.00,1.00
Mont-Vully,60.0,70.0,60.0,1.00,1.50
Alterswil,79.0,66.7,79.0,1.00,1.25
Brünisried,92.0,66.7,92.0,1.00,2.50
Düdingen,82.0,66.7,82.0,1.00,1.80
Giffers,85.9,66.7,85.9,0.60,2.50
Bösingen,76.0,70.0,76.0,1.00,2.00
Heitenried,81.0,70.0,81.0,1.00,2.00
Plaffeien,95.0,70.0,90.0,1.00,3.00
Plasselb,95.0,70.0,95.0,1.00,3.00
Rechthalten,90.0,66.7,90.0,1.00,2.50
St. Antoni,87.0,66.7,87.0,1.00,2.00
St. Silvester,95.0,70.0,95.0,1.00,2.50
St. Ursen,80.6,66.7,80.6,1.00,2.00
Schmitten,77.0,70.0,72.0,1.00,2.00
Tafers,75.0,66.7,75.0,1.00,1.50
Tentlingen,76.1,66.7,76.1,1.00,2.00
Ueberstorf,89.0,66.7,89.0,1.00,2.00
Wünnewil-Flamatt,82.0,66.7,85.7,1.00,1.80
Attalens,78.5,66.7,78.5,1.00,1.80
Bossonnens,93.0,70.0,93.0,1.00,1.50
Châtel-Saint-Denis,83.6,66.7,83.6,1.00,2.00
Granges,89.0,70.0,81.0,1.00,2.00
Remaufens,88.0,66.7,88.0,1.00,1.00
Saint-Martin,87.0,70.0,90.0,1.00,1.50
Semsales,83.0,66.7,83.0,1.00,1.50
Le Flon,93.8,66.7,93.8,1.00,2.00
La Verrerie,86.0,60.0,86.0,1.00,2.00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
