name,yearAdopted,validity,incomeTax,estateTax,transferSalesTax,directAscendingTax,directDescendingTax,collateralLineTax,nonRelativeTax,taxCompanyRealEstate,dogTax,"entertainmentTax
"
Aigle,2019.00,2021.00,66.00,1.20,50.00,50.00,50.00,100.00,100.00,50.00,100.-,5
Aclens,2019.00,2020.00,62.00,1.10,50.00,50.00,50.00,100.00,100.00,50.00,80.-,10
Agiez,2016.00,2021.00,76.00,0.50,50.00,30.00,30.00,80.00,100.00,50.00,0.80p/Fr,-
Allaman,2019.00,2020.00,60.00,1.10,50.00,50.00,50.00,100.00,100.00,50.00,50.-,50 cts
Apples,2019.00,2020.00,74.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Arnex-sur-Nyon,2019.00,2020.00,70.00,1.00,50.00,25.00,-,25.00,50.00,50.00,50.-,-
Arnex-sur-Orbe,2019.00,2020.00,71.00,0.80,50.00,100.00,100.00,100.00,100.00,-,70.-,-
Arzier-Le-Muids,2019.00,2020.00,64.00,1.50,50.00,50.00,-,100.00,100.00,50.00,-,-
Assens,2019.00,2020.00,70.00,1.00,50.00,-,-,100.00,100.00,50.00,150.-,-
Aubonne,2019.00,2020.00,68.50,1.00,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Avenches,2019.00,2020.00,66.50,1.50,50.00,100.00,-,100.00,100.00,50.00,100.-,-
Ballaigues,2019.00,2020.00,65.00,1.00,50.00,50.00,50.00,100.00,100.00,-,50.-,-
Ballens,2019.00,2020.00,73.00,0.50,50.00,-,-,100.00,100.00,50.00,0.50p/Fr,-
Bassins,2019.00,2020.00,72.50,1.40,50.00,100.00,-,100.00,100.00,50.00,90.-,-
Baulmes,2019.00,2020.00,76.50,1.00,50.00,-,-,100.00,100.00,-,50.-,-
Bavois,2019.00,2020.00,73.00,1.20,50.00,100.00,50.00,100.00,100.00,50.00,60.-,10
Begnins,2019.00,2020.00,62.50,1.50,50.00,-,-,100.00,100.00,50.00,100.-,-
Belmont-sur-Lausanne,2018.00,2021.00,72.00,1.50,50.00,100.00,50.00,100.00,100.00,50.00,100.-,5
Belmont-sur-Yverdon,2019.00,2020.00,70.00,1.00,50.00,50.00,50.00,100.00,100.00,-,0.60p/Fr,-
Bercher,2019.00,2020.00,79.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,100.-,10
Berolle,2019.00,2020.00,75.50,1.00,50.00,50.00,50.00,100.00,100.00,50.00,0.50p/Fr,-
Bettens,2019.00,2020.00,70.00,0.90,50.00,-,-,100.00,100.00,50.00,100.-,-
Bex,2018.00,2020.00,71.00,1.25,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Bière,2019.00,2020.00,69.00,0.58,50.00,50.00,50.00,100.00,100.00,50.00,100.-,10
Bioley-Magnoux,2019.00,2020.00,72.00,0.70,50.00,50.00,30.00,100.00,100.00,-,80.-,20 cts
Bioley-Orjulaz,2019.00,2020.00,68.00,0.50,50.00,30.00,30.00,100.00,100.00,50.00,150.-,-
Blonay,2019.00,2021.00,68.50,1.00,50.00,-,-,100.00,100.00,50.00,100.-,-
Bofflens,2019.00,2020.00,69.00,1.00,50.00,40.00,40.00,70.00,100.00,-,40.-,-
Bogis-Bossey,2019.00,2020.00,74.50,1.00,50.00,50.00,-,50.00,100.00,50.00,30.-,-
Bonvillars,2019.00,2021.00,55.00,1.00,50.00,-,-,60.00,100.00,40.00,100.-,-
Borex,2019.00,2020.00,57.00,1.50,50.00,-,-,100.00,100.00,50.00,50.-,-
Bottens,2019.00,2021.00,72.50,1.00,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Bougy-Villars,2019.00,2021.00,64.50,1.20,50.00,50.00,50.00,100.00,100.00,50.00,80.-,-
Boulens,2019.00,2020.00,71.50,1.00,50.00,50.00,-,50.00,100.00,50.00,200.-,-
Bourg-en-Lavaux,2019.00,2020.00,62.50,1.50,50.00,100.00,-,100.00,100.00,50.00,100.-,-
Bournens,2019.00,2020.00,72.00,1.00,50.00,-,-,-,100.00,50.00,60.-,-
Boussens,2019.00,2021.00,67.50,1.00,50.00,-,-,100.00,100.00,50.00,80.-,-
Bremblens,2019.00,2020.00,68.00,1.00,50.00,-,-,100.00,100.00,50.00,40.-,-
Bretigny-sur-Morrens,2019.00,2020.00,81.00,1.00,50.00,-,-,100.00,100.00,50.00,100.-,-
Bretonnières,2019.00,2021.00,70.50,0.60,50.00,-,-,80.00,100.00,-,50.-,-
Buchillon,2019.00,2020.00,52.00,1.00,50.00,100.00,-,100.00,100.00,50.00,25.-,-
Bullet,2019.00,2020.00,71.50,1.00,50.00,80.00,80.00,90.00,100.00,50.00,1.-p/Fr,10
Bursinel,2019.00,2020.00,65.50,0.75,50.00,-,-,80.00,100.00,50.00,0.85p/Fr,-
Bursins,2019.00,2020.00,71.00,1.00,50.00,50.00,30.00,80.00,100.00,50.00,1.-p/Fr,-
Burtigny,2019.00,2020.00,80.00,1.50,50.00,-,-,70.00,90.00,50.00,50.-,-
Bussigny,2019.00,2021.00,62.50,1.25,50.00,-,-,100.00,100.00,50.00,80.-,-
Bussy-Chardonney,2019.00,2020.00,77.00,1.20,50.00,-,-,100.00,100.00,50.00,40.-,10
Bussy-sur-Moudon,2018.00,2020.00,80.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,60.-,10
Chamblon,2019.00,2020.00,66.00,1.00,50.00,40.00,-,100.00,100.00,50.00,1.-p/Fr,10
Champagne,2019.00,2020.00,65.00,1.00,50.00,90.00,90.00,90.00,100.00,50.00,100.-,10
Champtauroz,2019.00,2020.00,77.00,0.80,50.00,-,-,100.00,100.00,50.00,40.-,-
Champvent,2019.00,2020.00,71.00,1.00,50.00,100.00,100.00,100.00,100.00,30.00,30.-,-
Chardonne,2019.00,2020.00,68.00,1.00,50.00,70.00,50.00,100.00,100.00,50.00,80.-,-
Château-d'Oex,2019.00,2020.00,81.50,1.50,50.00,100.00,100.00,100.00,100.00,50.00,120.-,-
Chavannes-de-Bogis,2019.00,2020.00,58.00,1.50,50.00,-,-,50.00,100.00,50.00,50.-,-
Chavannes-des-Bois,2019.00,2020.00,68.00,1.50,50.00,-,-,100.00,100.00,50.00,80.-,-
Chavannes-le-Chêne,2019.00,2021.00,75.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,60.-,-
Chavannes-le-Veyron,2017.00,2021.00,77.00,1.00,50.00,50.00,-,75.00,100.00,-,30.-,-
Chavannes-près-Renens,2019.00,2021.00,77.50,1.50,50.00,50.00,50.00,100.00,100.00,50.00,150.-,15
Chavannes-sur-Moudon,2019.00,2020.00,73.00,1.00,50.00,-,-,-,-,50.00,60.-,-
Chavornay,2019.00,2021.00,70.50,1.00,50.00,100.00,-,100.00,100.00,50.00,80.-,-
Chêne-Pâquier,2019.00,2021.00,79.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,66.-,-
Cheseaux-Noréaz,2019.00,2020.00,67.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,20.-,10
Cheseaux-sur-Lausanne,2019.00,2021.00,73.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Chéserex,2019.00,2020.00,57.00,1.00,50.00,-,-,100.00,100.00,50.00,100.-,-
Chessel,2018.00,2020.00,74.00,1.00,50.00,50.00,-,50.00,100.00,50.00,100.-,-
Chevilly,2019.00,2020.00,74.00,1.00,50.00,100.00,100.00,100.00,100.00,-,1.-p/Fr,-
Chevroux,2019.00,2020.00,68.50,1.20,50.00,50.00,50.00,100.00,100.00,-,1.-p/Fr,10
Chexbres,2019.00,2020.00,67.50,1.00,50.00,100.00,-,100.00,100.00,50.00,75.-,-
Chigny,2019.00,2020.00,62.00,1.00,50.00,50.00,-,30.00,100.00,50.00,-,-
